asset_id,asset_type,borough,install_year,age_years,criticality,base_condition,required_skill
AST-00823,Circuit Breaker House,Queens,2020,6,4,89.2,breaker
AST-00824,Feeder Cable,Manhattan,1986,40,3,63.1,cable
AST-00825,Third Rail Segment,Brooklyn,2001,25,4,66.1,third_rail
AST-00826,Substation,Queens,1992,34,4,68.0,power
AST-00827,Feeder Cable,Manhattan,2011,15,4,73.2,cable
AST-00828,Circuit Breaker House,Brooklyn,1988,38,5,63.8,breaker
AST-00829,Third Rail Segment,Brooklyn,2000,26,4,67.3,third_rail
AST-00830,Circuit Breaker House,Manhattan,2020,6,2,85.9,breaker
AST-00831,Feeder Cable,Brooklyn,1989,37,4,55.9,cable
AST-00832,Feeder Cable,Manhattan,1994,32,4,65.1,cable
AST-00833,Circuit Breaker House,Queens,2013,13,4,81.6,breaker
AST-00834,Feeder Cable,Manhattan,2004,22,3,78.6,cable
AST-00835,Feeder Cable,Queens,2010,16,4,77.5,cable
AST-00836,Feeder Cable,Manhattan,2004,22,4,79.0,cable
AST-00837,Third Rail Segment,Bronx,1987,39,5,58.2,third_rail
AST-00838,Third Rail Segment,Manhattan,1990,36,2,58.2,third_rail
AST-00839,Feeder Cable,Brooklyn,2017,9,3,86.6,cable
AST-00840,Feeder Cable,Brooklyn,1987,39,3,56.2,cable
AST-00841,Substation,Manhattan,2008,18,3,83.2,power
AST-00842,Third Rail Segment,Brooklyn,1997,29,2,81.1,third_rail
AST-00843,Feeder Cable,Bronx,1995,31,1,70.9,cable
AST-00844,Feeder Cable,Bronx,2006,20,3,83.8,cable
AST-00845,Substation,Brooklyn,2007,19,4,99.8,power
AST-00846,Third Rail Segment,Manhattan,2007,19,3,81.8,third_rail
AST-00847,Circuit Breaker House,Queens,1991,35,5,63.1,breaker
AST-00848,Feeder Cable,Queens,2010,16,3,86.5,cable
AST-00849,Substation,Manhattan,2014,12,4,79.1,power
AST-00850,Third Rail Segment,Queens,2011,15,3,79.6,third_rail
AST-00851,Substation,Brooklyn,2018,8,4,87.3,power
AST-00852,Circuit Breaker House,Queens,2010,16,3,86.1,breaker
AST-00853,Third Rail Segment,Brooklyn,2021,5,5,93.0,third_rail
AST-00854,Third Rail Segment,Brooklyn,2022,4,3,96.4,third_rail
AST-00855,Circuit Breaker House,Manhattan,1997,29,4,74.3,breaker
AST-00856,Feeder Cable,Queens,2022,4,4,100.0,cable
AST-00857,Feeder Cable,Manhattan,2003,23,3,72.4,cable
AST-00858,Third Rail Segment,Queens,1994,32,4,58.5,third_rail
AST-00859,Circuit Breaker House,Queens,1997,29,5,74.6,breaker
AST-00860,Feeder Cable,Queens,2008,18,3,84.7,cable
AST-00861,Feeder Cable,Manhattan,2018,8,4,79.6,cable
AST-00862,Feeder Cable,Brooklyn,1988,38,4,54.1,cable
AST-00863,Third Rail Segment,Brooklyn,1992,34,4,62.1,third_rail
AST-00864,Feeder Cable,Queens,2001,25,3,76.7,cable
AST-00865,Substation,Bronx,2022,4,1,100.0,power
AST-00866,Third Rail Segment,Brooklyn,2024,2,4,99.7,third_rail
AST-00867,Third Rail Segment,Bronx,2013,13,1,89.1,third_rail
AST-00868,Third Rail Segment,Manhattan,2019,7,5,92.4,third_rail
AST-00869,Substation,Brooklyn,1991,35,3,55.0,power
AST-00870,Circuit Breaker House,Manhattan,2017,9,4,87.8,breaker
AST-00871,Feeder Cable,Queens,2014,12,2,86.3,cable
AST-00872,Substation,Manhattan,1986,40,2,53.8,power
AST-00873,Third Rail Segment,Brooklyn,1993,33,3,48.9,third_rail
AST-00874,Circuit Breaker House,Queens,2017,9,3,86.9,breaker
AST-00875,Feeder Cable,Brooklyn,2010,16,3,82.0,cable
AST-00876,Third Rail Segment,Manhattan,2005,21,3,73.9,third_rail
AST-00877,Circuit Breaker House,Manhattan,1999,27,5,67.2,breaker
AST-00878,Circuit Breaker House,Brooklyn,1988,38,4,59.7,breaker
AST-00879,Feeder Cable,Brooklyn,1991,35,4,52.2,cable
AST-00880,Feeder Cable,Manhattan,1986,40,4,42.6,cable
AST-00881,Feeder Cable,Queens,2024,2,5,95.3,cable
AST-00882,Feeder Cable,Manhattan,2016,10,3,93.8,cable
AST-00883,Third Rail Segment,Queens,2003,23,1,85.4,third_rail
AST-00884,Feeder Cable,Brooklyn,2024,2,3,100.0,cable
AST-00885,Circuit Breaker House,Manhattan,2011,15,4,72.5,breaker
AST-00886,Circuit Breaker House,Manhattan,2019,7,2,90.3,breaker
AST-00887,Circuit Breaker House,Manhattan,1988,38,3,58.1,breaker
AST-00888,Substation,Manhattan,2023,3,3,97.8,power
AST-00889,Substation,Brooklyn,2020,6,5,96.9,power
AST-00890,Feeder Cable,Bronx,2018,8,4,84.4,cable
AST-00891,Circuit Breaker House,Bronx,2020,6,4,93.6,breaker
AST-00892,Third Rail Segment,Brooklyn,2003,23,4,76.5,third_rail
AST-00893,Circuit Breaker House,Queens,2011,15,3,88.5,breaker
AST-00894,Substation,Queens,1989,37,3,51.8,power
AST-00895,Third Rail Segment,Queens,2015,11,2,84.9,third_rail
AST-00896,Third Rail Segment,Manhattan,2004,22,1,55.8,third_rail
AST-00897,Circuit Breaker House,Brooklyn,1999,27,3,64.6,breaker
AST-00898,Circuit Breaker House,Brooklyn,2000,26,4,66.4,breaker
AST-00899,Circuit Breaker House,Manhattan,1994,32,4,56.1,breaker
AST-00900,Feeder Cable,Brooklyn,2017,9,5,90.8,cable
AST-00901,Feeder Cable,Bronx,2005,21,5,75.5,cable
AST-00902,Circuit Breaker House,Bronx,1993,33,2,46.2,breaker
AST-00903,Substation,Manhattan,1991,35,3,61.3,power
AST-00904,Feeder Cable,Brooklyn,2001,25,4,64.8,cable
AST-00905,Third Rail Segment,Brooklyn,1999,27,5,72.3,third_rail
AST-00906,Feeder Cable,Brooklyn,1991,35,5,50.8,cable
AST-00907,Feeder Cable,Queens,2001,25,4,71.5,cable
AST-00908,Substation,Manhattan,1988,38,3,54.3,power
AST-00909,Circuit Breaker House,Bronx,2020,6,2,95.2,breaker
AST-00910,Circuit Breaker House,Bronx,2012,14,4,84.8,breaker
AST-00911,Third Rail Segment,Queens,2021,5,2,92.5,third_rail
AST-00912,Third Rail Segment,Queens,2022,4,3,84.6,third_rail
AST-00913,Third Rail Segment,Brooklyn,2007,19,3,67.8,third_rail
AST-00914,Third Rail Segment,Brooklyn,2016,10,5,84.4,third_rail
AST-00915,Third Rail Segment,Manhattan,2009,17,3,80.4,third_rail
AST-00916,Third Rail Segment,Queens,2008,18,1,75.0,third_rail
AST-00917,Substation,Manhattan,2001,25,4,75.6,power
AST-00918,Substation,Queens,1988,38,3,54.3,power
AST-00919,Circuit Breaker House,Brooklyn,1992,34,3,54.1,breaker
AST-00920,Feeder Cable,Brooklyn,2010,16,3,79.7,cable
AST-00921,Substation,Brooklyn,2012,14,3,85.5,power
AST-00922,Third Rail Segment,Bronx,1995,31,4,66.6,third_rail
AST-00923,Feeder Cable,Manhattan,2021,5,2,100.0,cable
AST-00924,Feeder Cable,Manhattan,2004,22,3,70.0,cable
AST-00925,Substation,Manhattan,2009,17,4,79.9,power
AST-00926,Circuit Breaker House,Queens,2018,8,3,93.8,breaker
AST-00927,Substation,Bronx,2001,25,2,71.1,power
AST-00928,Third Rail Segment,Manhattan,2013,13,4,81.5,third_rail
AST-00929,Feeder Cable,Bronx,2018,8,4,80.0,cable
AST-00930,Feeder Cable,Brooklyn,1999,27,3,65.4,cable
AST-00931,Circuit Breaker House,Queens,2019,7,1,84.4,breaker
AST-00932,Circuit Breaker House,Manhattan,1999,27,4,56.9,breaker
AST-00933,Feeder Cable,Brooklyn,2019,7,2,86.4,cable
AST-00934,Third Rail Segment,Queens,2008,18,4,72.0,third_rail
AST-00935,Third Rail Segment,Brooklyn,1993,33,2,66.1,third_rail
AST-00936,Circuit Breaker House,Manhattan,2016,10,2,92.7,breaker
AST-00937,Third Rail Segment,Queens,1995,31,3,58.0,third_rail
AST-00938,Substation,Bronx,1997,29,3,64.8,power
AST-00939,Third Rail Segment,Brooklyn,1989,37,3,44.4,third_rail
AST-00940,Substation,Queens,2019,7,4,88.5,power
AST-00941,Circuit Breaker House,Queens,1997,29,3,69.4,breaker
AST-00942,Third Rail Segment,Manhattan,1988,38,4,62.1,third_rail
AST-00943,Substation,Bronx,1995,31,3,59.4,power
AST-00944,Feeder Cable,Brooklyn,2018,8,3,98.2,cable
AST-00945,Feeder Cable,Queens,1993,33,2,51.4,cable
AST-00946,Circuit Breaker House,Manhattan,2021,5,2,85.5,breaker
AST-00947,Feeder Cable,Brooklyn,2002,24,3,77.4,cable
AST-00948,Third Rail Segment,Brooklyn,2006,20,3,88.7,third_rail
AST-00949,Third Rail Segment,Brooklyn,2004,22,1,78.2,third_rail
AST-00950,Circuit Breaker House,Bronx,2005,21,3,75.6,breaker
AST-00951,Feeder Cable,Bronx,2024,2,2,82.3,cable
AST-00952,Circuit Breaker House,Manhattan,2005,21,5,61.7,breaker
AST-00953,Circuit Breaker House,Brooklyn,1988,38,1,57.2,breaker
AST-00954,Substation,Brooklyn,2008,18,2,76.8,power
AST-00955,Third Rail Segment,Brooklyn,2014,12,4,78.5,third_rail
AST-00956,Third Rail Segment,Brooklyn,1986,40,5,54.5,third_rail
AST-00957,Third Rail Segment,Bronx,2022,4,2,96.2,third_rail
AST-00958,Feeder Cable,Queens,2006,20,3,83.6,cable
AST-00959,Feeder Cable,Manhattan,2005,21,4,76.8,cable
AST-00960,Feeder Cable,Brooklyn,2006,20,1,85.6,cable
AST-00961,Feeder Cable,Queens,1989,37,1,57.5,cable
AST-00962,Feeder Cable,Brooklyn,2009,17,3,79.6,cable
AST-00963,Substation,Manhattan,1987,39,5,62.6,power
AST-00964,Substation,Brooklyn,2023,3,3,89.7,power
AST-00965,Third Rail Segment,Brooklyn,1996,30,3,85.2,third_rail
AST-00966,Feeder Cable,Manhattan,2002,24,4,75.0,cable
AST-00967,Third Rail Segment,Queens,2016,10,5,91.2,third_rail
AST-00968,Substation,Brooklyn,2016,10,3,92.2,power
AST-00969,Feeder Cable,Queens,1997,29,3,79.8,cable
AST-00970,Circuit Breaker House,Brooklyn,2000,26,5,75.6,breaker
AST-00971,Circuit Breaker House,Bronx,2001,25,2,60.0,breaker
AST-00972,Substation,Manhattan,2023,3,4,100.0,power
AST-00973,Substation,Manhattan,2002,24,2,70.0,power
AST-00974,Third Rail Segment,Brooklyn,1986,40,3,54.8,third_rail
AST-00975,Circuit Breaker House,Brooklyn,2025,1,3,89.9,breaker
AST-00976,Feeder Cable,Brooklyn,2007,19,2,81.8,cable
AST-00977,Feeder Cable,Queens,2006,20,2,72.4,cable
AST-00978,Feeder Cable,Manhattan,1990,36,3,59.3,cable
AST-00979,Feeder Cable,Manhattan,2014,12,4,84.2,cable
AST-00980,Circuit Breaker House,Brooklyn,2006,20,3,90.5,breaker
AST-00981,Third Rail Segment,Queens,1997,29,3,80.5,third_rail
AST-00982,Third Rail Segment,Bronx,2023,3,4,96.9,third_rail
AST-00983,Feeder Cable,Queens,1993,33,2,62.5,cable
AST-00984,Feeder Cable,Queens,1993,33,4,59.4,cable
AST-00985,Substation,Queens,1997,29,4,74.4,power
AST-00986,Third Rail Segment,Queens,2000,26,5,67.8,third_rail
AST-00987,Circuit Breaker House,Manhattan,1996,30,3,62.6,breaker
AST-00988,Substation,Queens,1994,32,3,70.1,power
AST-00989,Circuit Breaker House,Queens,1989,37,4,53.7,breaker
AST-00990,Third Rail Segment,Brooklyn,2008,18,4,79.0,third_rail
AST-00991,Feeder Cable,Queens,2007,19,3,67.1,cable
AST-00992,Third Rail Segment,Brooklyn,2000,26,3,75.0,third_rail
AST-00993,Third Rail Segment,Brooklyn,2018,8,4,100.0,third_rail
AST-00994,Circuit Breaker House,Manhattan,1991,35,2,64.8,breaker
AST-00995,Third Rail Segment,Queens,1995,31,3,74.6,third_rail
AST-00996,Feeder Cable,Bronx,2000,26,3,64.2,cable
AST-00997,Feeder Cable,Manhattan,2013,13,4,86.7,cable
AST-00998,Substation,Brooklyn,2012,14,3,77.3,power
AST-00999,Third Rail Segment,Manhattan,2008,18,1,77.7,third_rail
AST-01000,Circuit Breaker House,Manhattan,1999,27,1,74.4,breaker
